,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
183,Sékou Gassama,sn SEN,FW,Valladolid,27-222,1995,1,0,36,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
184,Gavi,es ESP,MF,Barcelona,18-131,2004,14,9,803,8.9,0,1,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11
185,Paulo Gazzaniga,ar ARG,GK,Girona,30-346,1992,4,4,360,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
186,Óscar Gil,es ESP,DF,Espanyol,25-232,1997,11,10,868,9.6,0,1,0,0,0,4,0,0.00,0.10,0.10,0.00,0.10
187,Álvaro Giménez,es ESP,FW,Cádiz,31-209,1991,1,0,17,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
188,Dani Gómez,es ESP,"MF,FW",Espanyol,24-137,1998,6,0,66,0.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
189,Maxi Gómez,uy URU,FW,Valencia,26-122,1996,3,0,108,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
190,Moi Gómez,es ESP,"MF,FW",Osasuna,28-174,1994,14,14,"1,139",12.7,1,1,1,0,0,2,0,0.08,0.08,0.16,0.08,0.16
191,Papu Gómez,ar ARG,"FW,MF",Sevilla,34-302,1988,12,6,650,7.2,0,1,0,0,0,4,0,0.00,0.14,0.14,0.00,0.14
192,Sergi Gómez,es ESP,DF,Espanyol,30-261,1992,11,10,895,9.9,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00
193,Diego González,es ESP,DF,Elche,27-320,1995,6,2,327,3.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
194,Édgar González,es ESP,DF,Betis,25-257,1997,11,9,845,9.4,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00
195,Giovanni González,uy URU,DF,Mallorca,28-085,1994,5,3,344,3.8,0,2,0,0,0,3,0,0.00,0.52,0.52,0.00,0.52
196,Nicolás González,es ESP,MF,Valencia,20-345,2002,12,5,517,5.7,1,0,1,0,0,1,0,0.17,0.00,0.17,0.17,0.17
197,Roberto González,es ESP,"FW,MF",Betis,21-342,2001,2,0,54,0.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
198,Andoni Gorosabel,es ESP,DF,Real Sociedad,26-132,1996,11,8,713,7.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
199,Ivo Grbić,hr CRO,GK,Atlético Madrid,26-330,1996,4,2,208,2.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
200,Clément Grenier,fr FRA,MF,Mallorca,31-341,1991,10,4,404,4.5,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00
201,Antoine Griezmann,fr FRA,"FW,MF",Atlético Madrid,31-268,1991,14,7,773,8.6,5,3,5,0,0,0,0,0.58,0.35,0.93,0.58,0.93
202,Arnaut Groeneveld,nl NED,FW,Villarreal,25-317,1997,9,6,476,5.3,2,0,1,1,1,0,0,0.38,0.00,0.38,0.19,0.19
203,Andrés Guardado,mx MEX,"MF,FW",Betis,36-077,1986,8,3,303,3.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
204,Sergi Guardiola,es ESP,FW,Valladolid,31-199,1991,11,6,377,4.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
205,Nemanja Gudelj,rs SRB,"DF,MF",Sevilla,31-028,1991,12,12,"1,035",11.5,2,0,2,0,0,4,0,0.17,0.00,0.17,0.17,0.17
206,Ander Guevara,es ESP,"MF,DF",Real Sociedad,25-160,1997,4,1,126,1.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
207,,,,,,,,,,,,,,,,,,,,,,
208,Hugo Guillamón,es ESP,MF,Valencia,22-317,2000,13,11,916,10.2,1,4,0,1,1,4,0,0.10,0.39,0.49,0.00,0.39
209,Gerard Gumbau,es ESP,MF,Elche,27-361,1994,13,9,831,9.2,0,3,0,0,0,5,0,0.00,0.32,0.32,0.00,0.32
210,Gorka Guruzeta,es ESP,"FW,MF",Athletic Club,26-093,1996,7,1,203,2.3,5,0,5,0,0,1,0,2.22,0.00,2.22,2.22,2.22
211,Raúl Guti,es ESP,MF,Elche,25-349,1996,11,8,647,7.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
212,Miguel Gutiérrez,es ESP,DF,Girona,21-140,2001,13,11,908,10.1,0,2,0,0,0,3,0,0.00,0.20,0.20,0.00,0.20
213,Munir El Haddadi,ma MAR,"MF,FW",Getafe,27-104,1995,8,0,234,2.6,1,0,1,0,0,2,0,0.38,0.00,0.38,0.38,0.38
214,Eden Hazard,be BEL,FW,Real Madrid,31-341,1991,3,1,99,1.1,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00
215,Luiz Henrique,br BRA,FW,Betis,21-346,2001,12,9,741,8.2,0,1,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12
216,Mario Hermoso,es ESP,DF,Atlético Madrid,27-179,1995,3,1,120,1.3,1,0,1,0,0,3,1,0.75,0.00,0.75,0.75,0.75
217,Aridane Hernández,gq EQG,DF,Osasuna,33-266,1989,3,2,144,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
218,Luis Hernández,es ESP,DF,Cádiz,33-244,1989,12,12,"1,079",12.0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00
219,Ander Herrera,es ESP,MF,Athletic Club,33-122,1989,6,3,238,2.6,0,1,0,0,0,2,1,0.00,0.38,0.38,0.00,0.38
220,Sergio Herrera,es ESP,GK,Osasuna,29-192,1993,10,10,900,10.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
221,Yangel Herrera,ve VEN,MF,Girona,24-341,1998,11,9,629,7.0,0,2,0,0,0,1,0,0.00,0.29,0.29,0.00,0.29
222,Omar El Hilali,ma MAR,"DF,MF",Espanyol,19-093,2003,5,1,92,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
223,Pablo Ibáñez,es ESP,MF,Osasuna,24-085,1998,4,0,35,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
224,Iglesias,es ESP,DF,Getafe,24-164,1998,13,11,"1,026",11.4,1,0,1,0,0,3,0,0.09,0.00,0.09,0.09,0.09
225,Borja Iglesias,es ESP,FW,Betis,29-331,1993,13,12,957,10.6,8,2,5,3,3,0,1,0.75,0.19,0.94,0.47,0.66
226,Asier Illarramendi,es ESP,MF,Real Sociedad,32-281,1990,6,2,153,1.7,1,0,1,0,0,2,0,0.59,0.00,0.59,0.59,0.59
227,Alexander Isak,se SWE,FW,Real Sociedad,23-084,1999,2,2,152,1.7,1,0,1,0,0,0,0,0.59,0.00,0.59,0.59,0.59
228,Isco,es ESP,"MF,FW",Sevilla,30-237,1992,12,10,799,8.9,0,2,0,0,0,5,0,0.00,0.23,0.23,0.00,0.23
229,Nicolas Jackson,sn SEN,FW,Villarreal,21-177,2001,13,8,772,8.6,2,2,2,0,0,1,0,0.23,0.23,0.47,0.23,0.47
230,Adnan Januzaj,be BEL,FW,Sevilla,27-312,1995,2,1,47,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
231,Javi,es ESP,DF,Girona,24-226,1998,10,4,365,4.1,0,1,0,0,0,1,0,0.00,0.25,0.25,0.00,0.25
232,Joaquín,es ESP,"MF,FW",Betis,41-146,1981,5,1,160,1.8,0,1,0,0,0,0,0,0.00,0.56,0.56,0.00,0.56
233,,,,,,,,,,,,,,,,,,,,,,
234,Frenkie de Jong,nl NED,MF,Barcelona,25-216,1997,13,9,900,10.0,2,1,2,0,0,0,0,0.20,0.10,0.30,0.20,0.30
235,Joan Jordán,es ESP,"MF,DF",Sevilla,28-161,1994,10,9,684,7.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
236,Josan,es ESP,"DF,MF",Elche,33-011,1989,12,3,392,4.4,1,0,1,0,0,3,0,0.23,0.00,0.23,0.23,0.23
237,Willian José,br BRA,FW,Betis,31-021,1991,10,2,271,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
238,Joselu,es ESP,FW,Espanyol,32-262,1990,14,14,"1,260",14.0,7,1,5,2,2,1,0,0.50,0.07,0.57,0.36,0.43
239,Juanmi,es ESP,FW,Betis,29-208,1993,4,4,313,3.5,2,0,2,0,0,2,0,0.58,0.00,0.58,0.58,0.58
240,Juanpe,es ESP,DF,Girona,31-228,1991,7,7,615,6.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
241,Lago Junior,ci CIV,"FW,MF",Mallorca,31-348,1990,5,0,52,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
242,Vinicius Júnior,br BRA,FW,Real Madrid,22-155,2000,14,14,"1,227",13.6,6,3,6,0,0,3,0,0.44,0.22,0.66,0.44,0.66
243,Kaiky,br BRA,DF,Almería,18-336,2004,8,6,484,5.4,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00
244,Lee Kangin,kr KOR,"MF,FW",Mallorca,21-298,2001,14,13,"1,090",12.1,2,3,2,0,0,4,0,0.17,0.25,0.41,0.17,0.41
245,Jon Karrikaburu,es ESP,FW,Real Sociedad,20-086,2002,6,0,93,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
246,Kenedy,br BRA,MF,Valladolid,26-309,1996,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
247,Franck Kessié,ci CIV,MF,Barcelona,25-360,1996,7,2,216,2.4,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
248,Kike,es ESP,FW,Osasuna,33-019,1989,14,3,428,4.8,2,0,1,1,1,3,0,0.42,0.00,0.42,0.21,0.21
249,Justin Kluivert,nl NED,"FW,MF",Valencia,23-223,1999,10,5,518,5.8,2,0,2,0,0,1,0,0.35,0.00,0.35,0.35,0.35
250,Koke,es ESP,MF,Atlético Madrid,30-340,1992,10,8,742,8.2,0,2,0,0,0,2,0,0.00,0.24,0.24,0.00,0.24
251,Luca Koleosho,ca CAN,"FW,DF",Espanyol,18-090,2004,2,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
252,Geoffrey Kondogbia,cf CTA,MF,Atlético Madrid,29-302,1993,11,8,719,8.0,0,1,0,0,0,3,0,0.00,0.13,0.13,0.00,0.13
253,Jules Koundé,fr FRA,DF,Barcelona,24-032,1998,7,7,572,6.4,0,2,0,0,0,0,0,0.00,0.31,0.31,0.00,0.31
254,Toni Kroos,de GER,MF,Real Madrid,32-344,1990,11,10,858,9.5,1,2,1,0,0,2,1,0.10,0.21,0.31,0.10,0.31
255,Takefusa Kubo,jp JPN,"FW,MF",Real Sociedad,21-193,2001,12,10,842,9.4,2,2,2,0,0,0,0,0.21,0.21,0.43,0.21,0.43
256,César de la Hoz,es ESP,MF,Almería,30-259,1992,8,6,583,6.5,1,0,1,0,0,4,0,0.15,0.00,0.15,0.15,0.15
257,Luca de la Torre,us USA,MF,Celta Vigo,24-205,1998,5,0,54,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
258,Érik Lamela,ar ARG,"FW,MF",Sevilla,30-285,1992,13,10,956,10.6,3,0,3,0,0,5,1,0.28,0.00,0.28,0.28,0.28
259,,,,,,,,,,,,,,,,,,,,,,
260,Latasa,es ESP,"FW,DF",Getafe,21-266,2001,6,0,61,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
261,Toni Lato,es ESP,"DF,MF",Valencia,25-023,1997,9,2,276,3.1,1,0,1,0,0,0,0,0.33,0.00,0.33,0.33,0.33
262,Lázaro,br BRA,"MF,FW",Almería,20-277,2002,6,2,206,2.3,1,0,1,0,0,0,0,0.44,0.00,0.44,0.44,0.44
263,Robin Le Normand,fr FRA,DF,Real Sociedad,26-033,1996,11,9,816,9.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
264,Benjamin Lecomte,fr FRA,GK,Espanyol,31-232,1991,10,10,899,10.0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00
265,Jeremías Ledesma,ar ARG,GK,Cádiz,29-304,1993,14,14,"1,260",14.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
266,Florian Lejeune,fr FRA,DF,Rayo Vallecano,31-208,1991,12,12,948,10.5,3,0,3,0,0,4,1,0.28,0.00,0.28,0.28,0.28
267,Iñigo Lekue,es ESP,DF,Athletic Club,29-224,1993,12,10,947,10.5,0,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10
268,Thomas Lemar,fr FRA,MF,Atlético Madrid,27-032,1995,9,5,390,4.3,0,2,0,0,0,0,0,0.00,0.46,0.46,0.00,0.46
269,Sergio León,es ESP,FW,Valladolid,33-342,1989,13,7,625,6.9,5,1,4,1,2,0,0,0.72,0.14,0.86,0.58,0.72
270,Robert Lewandowski,pl POL,FW,Barcelona,34-115,1988,14,13,"1,064",11.8,13,4,13,0,1,2,1,1.10,0.34,1.44,1.10,1.44
271,Pol Lirola,es ESP,DF,Elche,25-123,1997,8,7,548,6.1,1,0,1,0,0,1,0,0.16,0.00,0.16,0.16,0.16
272,Javier Llabrés,es ESP,FW,Mallorca,20-094,2002,1,0,17,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
273,Marcos Llorente,es ESP,"DF,MF",Atlético Madrid,27-318,1995,8,8,662,7.4,1,0,1,0,0,1,0,0.14,0.00,0.14,0.14,0.14
274,Giovani Lo Celso,ar ARG,"MF,FW",Villarreal,26-249,1996,8,8,521,5.8,1,0,1,0,0,1,0,0.17,0.00,0.17,0.17,0.17
275,David López,es ESP,"DF,MF",Girona,33-066,1989,8,8,690,7.7,2,1,2,0,0,2,0,0.26,0.13,0.39,0.26,0.39
276,Diego López,es ESP,GK,Rayo Vallecano,41-041,1981,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
277,Unai López,es ESP,MF,Rayo Vallecano,27-045,1995,13,6,554,6.2,1,2,1,0,0,0,0,0.16,0.32,0.49,0.16,0.49
278,Anthony Lozano,hn HON,FW,Cádiz,29-233,1993,12,8,756,8.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
279,Pol Lozano,es ESP,MF,Espanyol,23-069,1999,4,0,17,0.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
280,José Luis Gayà,es ESP,DF,Valencia,27-203,1995,10,10,862,9.6,0,2,0,0,1,1,0,0.00,0.21,0.21,0.00,0.21
281,José Luis Morales,es ESP,FW,Villarreal,35-144,1987,13,3,424,4.7,1,0,1,0,0,0,0,0.21,0.00,0.21,0.21,0.21
282,Andriy Lunin,ua UKR,GK,Real Madrid,23-306,1999,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
283,Awer Mabil,au AUS,"MF,FW",Cádiz,27-090,1995,5,1,165,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
284,Pablo Maffeo,es ESP,DF,Mallorca,25-155,1997,12,12,"1,017",11.3,1,0,1,0,0,3,1,0.09,0.00,0.09,0.09,0.09
285,,,,,,,,,,,,,,,,,,,,,,
286,Jon Magunacelaya,es ESP,"MF,FW",Real Sociedad,22-154,2000,2,0,65,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
287,Nemanja Maksimović,rs SRB,MF,Getafe,27-322,1995,12,10,711,7.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
288,Hugo Mallo,es ESP,DF,Celta Vigo,31-175,1991,11,11,873,9.7,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
289,Mickael Malsa,mq MTQ,MF,Valladolid,27-063,1995,4,0,39,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
290,Giorgi Mamardashvili,ge GEO,GK,Valencia,22-076,2000,14,14,"1,260",14.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
291,Reinildo Mandava,mz MOZ,DF,Atlético Madrid,28-327,1994,14,14,"1,238",13.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
292,Aïssa Mandi,dz ALG,DF,Villarreal,31-053,1991,7,3,261,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
293,Maranhão,br BRA,"FW,MF",Valencia,26-055,1996,11,3,370,4.1,1,0,1,0,0,2,1,0.24,0.00,0.24,0.24,0.24
294,Marcão,br BRA,DF,Sevilla,26-192,1996,4,4,360,4.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
295,Agustín Marchesín,ar ARG,GK,Celta Vigo,34-273,1988,14,14,"1,260",14.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
296,Óscar de Marcos,es ESP,DF,Athletic Club,33-244,1989,14,13,"1,078",12.0,0,3,0,0,0,2,0,0.00,0.25,0.25,0.00,0.25
297,José Mari,es ESP,MF,Cádiz,35-008,1987,10,2,288,3.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
298,José María Giménez,uy URU,DF,Atlético Madrid,27-328,1995,9,8,735,8.2,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00
299,Mariano,do DOM,FW,Real Madrid,29-135,1993,4,0,24,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
300,Pablo Marín,es ESP,"MF,FW",Real Sociedad,19-164,2003,3,1,106,1.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
301,Roger Martí,es ESP,FW,Elche,31-345,1991,8,5,430,4.8,0,1,0,0,0,1,0,0.00,0.21,0.21,0.00,0.21
302,Iván Martín,es ESP,MF,Girona,23-303,1999,2,0,103,1.1,2,0,2,0,0,0,0,1.75,0.00,1.75,1.75,1.75
303,Arnau Martinez,es ESP,"DF,MF",Girona,19-233,2003,11,10,811,9.0,2,1,2,0,0,2,0,0.22,0.11,0.33,0.22,0.33
304,Iñigo Martínez,es ESP,DF,Athletic Club,31-211,1991,9,9,810,9.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
305,Omar Mascarell,es ESP,MF,Elche,29-315,1993,12,12,"1,014",11.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
306,Jordi Masip,es ESP,GK,Valladolid,33-345,1989,9,9,810,9.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
307,Jaime Mata,es ESP,FW,Getafe,34-051,1988,6,0,42,0.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
308,Borja Mayoral,es ESP,FW,Getafe,25-253,1997,14,14,"1,105",12.3,1,0,1,0,1,2,0,0.08,0.00,0.08,0.08,0.08
309,Mamadou Mbaye,sn SEN,DF,Cádiz,24-169,1998,3,3,209,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
310,Gonzalo Melero,es ESP,MF,Almería,28-346,1994,8,7,536,6.0,1,2,1,0,0,2,0,0.17,0.34,0.50,0.17,0.50
311,,,,,,,,,,,,,,,,,,,,,,
312,Memphis,nl NED,FW,Barcelona,28-304,1994,2,2,114,1.3,1,0,1,0,0,0,0,0.79,0.00,0.79,0.79,0.79
313,Houboulang Mendes,fr FRA,DF,Almería,24-224,1998,7,6,498,5.5,0,1,0,0,0,0,0,0.00,0.18,0.18,0.00,0.18
314,Brais Méndez,es ESP,MF,Real Sociedad,25-341,1997,14,13,"1,121",12.5,6,2,6,0,0,4,0,0.48,0.16,0.64,0.48,0.64
315,Ferland Mendy,fr FRA,DF,Real Madrid,27-189,1995,11,11,884,9.8,0,1,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10
316,Mikel Merino,es ESP,MF,Real Sociedad,26-175,1996,14,13,"1,124",12.5,1,6,1,0,1,4,0,0.08,0.48,0.56,0.08,0.56
317,Roque Mesa,es ESP,MF,Valladolid,33-190,1989,12,11,862,9.6,2,1,2,0,0,4,0,0.21,0.10,0.31,0.21,0.31
318,Éder Militão,br BRA,DF,Real Madrid,24-330,1998,12,10,913,10.1,3,0,3,0,0,1,0,0.30,0.00,0.30,0.30,0.30
319,Luis Milla,es ESP,MF,Getafe,28-068,1994,8,7,650,7.2,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00
320,Pere Milla,es ESP,"FW,MF",Elche,30-082,1992,13,8,779,8.7,3,1,2,1,1,3,0,0.35,0.12,0.46,0.23,0.35
321,Marko Milovanović,rs SRB,FW,Almería,19-132,2003,2,0,15,0.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
322,Óscar Mingueza,es ESP,DF,Celta Vigo,23-215,1999,10,4,478,5.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
323,Rafa Mir,es ESP,FW,Sevilla,25-179,1997,9,7,559,6.2,2,0,2,0,0,1,0,0.32,0.00,0.32,0.32,0.32
324,Juan Miranda,es ESP,DF,Betis,22-329,2000,2,1,94,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
325,Stefan Mitrović,rs SRB,DF,Getafe,32-206,1990,13,11,"1,035",11.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
326,Luka Modrić,hr CRO,MF,Real Madrid,37-096,1985,13,11,926,10.3,3,2,2,1,1,3,0,0.29,0.19,0.49,0.19,0.39
327,Johan Mojica,co COL,DF,Villarreal,30-115,1992,5,1,186,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
328,Johan Mojica,co COL,"DF,MF",Elche,30-115,1992,3,3,270,3.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
329,Nahuel Molina,ar ARG,DF,Atlético Madrid,24-252,1998,11,11,924,10.3,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00
330,Jon Moncayola,es ESP,MF,Osasuna,24-215,1998,14,9,876,9.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
331,Monchu,es ESP,MF,Valladolid,23-092,1999,12,7,659,7.3,1,1,1,0,0,4,0,0.14,0.14,0.27,0.14,0.27
332,Gonzalo Montiel,ar ARG,DF,Sevilla,25-347,1997,8,8,585,6.5,0,1,0,0,0,3,1,0.00,0.15,0.15,0.00,0.15
333,Martín Montoya,es ESP,DF,Betis,31-244,1991,3,3,183,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
334,Álvaro Morata,es ESP,FW,Atlético Madrid,30-052,1992,14,12,845,9.4,5,1,5,0,0,3,0,0.53,0.11,0.64,0.53,0.64
335,Jon Morcillo,es ESP,"FW,MF",Athletic Club,24-090,1998,8,0,56,0.6,0,1,0,0,0,0,0,0.00,1.61,1.61,0.00,1.61
336,Alberto Moreno,es ESP,"DF,FW",Villarreal,30-162,1992,6,4,368,4.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
337,,,,,,,,,,,,,,,,,,,,,,
338,Álex Moreno,es ESP,DF,Betis,29-189,1993,13,13,"1,170",13.0,0,3,0,0,0,1,0,0.00,0.23,0.23,0.00,0.23
339,Gerard Moreno,es ESP,FW,Villarreal,30-251,1992,6,5,382,4.2,2,0,2,0,0,1,0,0.47,0.00,0.47,0.47,0.47
340,Tete Morente,es ESP,MF,Elche,26-010,1996,11,8,718,8.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
341,Ilaix Moriba,gn GUI,MF,Valencia,19-329,2003,6,4,331,3.7,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00
342,Manu Morlanes,es ESP,MF,Villarreal,23-336,1999,3,2,145,1.6,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00
343,Loren Morón,es ESP,FW,Betis,28-349,1993,2,0,15,0.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
344,Cristhian Mosquera,co COL,DF,Valencia,18-170,2004,2,0,55,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
345,Abdul Mumin,gh GHA,DF,Rayo Vallecano,24-191,1998,2,1,102,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
346,Iker Muniain,es ESP,"MF,FW",Athletic Club,29-360,1992,11,10,788,8.8,0,1,0,0,0,1,0,0.00,0.11,0.11,0.00,0.11
347,Aihen Muñoz,es ESP,DF,Real Sociedad,25-120,1997,9,8,666,7.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
348,Pablo Muñoz,es ESP,MF,Rayo Vallecano,19-101,2003,2,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
349,Vedat Muriqi,xk KVX,FW,Mallorca,28-234,1994,12,12,"1,037",11.5,8,1,6,2,3,3,1,0.69,0.09,0.78,0.52,0.61
350,Yunus Musah,us USA,MF,Valencia,20-015,2002,11,10,846,9.4,0,2,0,0,0,5,0,0.00,0.21,0.21,0.00,0.21
351,Nacho,es ESP,DF,Real Madrid,32-330,1990,7,1,147,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
352,Juanjo Narváez,co COL,"MF,FW",Valladolid,27-305,1995,5,1,148,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
353,Matija Nastasić,rs SRB,DF,Mallorca,29-261,1993,4,3,285,3.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
354,Roberto Navarro,es ESP,"MF,DF",Real Sociedad,20-246,2002,8,0,155,1.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
355,Jesús Navas,es ESP,"DF,FW",Sevilla,37-023,1985,11,6,626,7.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
356,Álvaro Negredo,es ESP,FW,Cádiz,37-116,1985,10,5,410,4.6,1,1,1,0,0,0,0,0.22,0.22,0.44,0.22,0.44
357,Tanguy Nianzou,fr FRA,DF,Sevilla,20-190,2002,10,8,640,7.1,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00
358,Saúl Ñíguez,es ESP,"MF,DF",Atlético Madrid,28-023,1994,11,6,465,5.2,0,1,0,0,0,5,0,0.00,0.19,0.19,0.00,0.19
359,Diego Noguerol,es ESP,"FW,DF",Valencia,20-215,2002,1,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
360,Randy Ntekja,fr FRA,"FW,MF",Rayo Vallecano,25-008,1997,7,0,67,0.7,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00
361,Unai Núñez,es ESP,DF,Celta Vigo,25-318,1997,13,13,"1,170",13.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
362,Jan Oblak,si SVN,GK,Atlético Madrid,29-341,1993,12,12,"1,052",11.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
363,,,,,,,,,,,,,,,,,,,,,,
364,Brian Ocampo,uy URU,"MF,FW",Cádiz,23-172,1999,10,7,560,6.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
365,Lucas Ocampos,ar ARG,"FW,MF",Sevilla,28-156,1994,3,1,132,1.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
366,Lucas Olaza,uy URU,DF,Valladolid,28-146,1994,9,6,641,7.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
